name,email,Wybrany dnia,Lista,Okręg wyborczy,Liczba głosów,Ślubowanie,Staż parlamentarny,Klub/koło,Data i miejsce urodzenia,Wykształcenie,Ukończona szkoła,Zawód,Funkcja w klubie/kole,Tytuł/stopień naukowy,Wybrana dnia,Funkcja w Sejmie,Wygaśnięcie mandatu
Jacek Czerniak,Jacek.Czerniak@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,6  Lublin,17720,12-11-2019,poseł VII kadencji,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","30-08-1964, Świdnik",wyższe,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Nauki Polityczne - magister (1989)Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Zarządzanie i Administracja (2001) - studia podyplomowe",politolog,,,,,
Zofia Czernow,Zofia.Czernow@sejm.pl,,Koalicja Obywatelska,1  Legnica,15761,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","30-09-1950, Wola Obszańska",wyższe,"Wyższa Szkoła Ekonomiczna we Wrocławiu, Wydział Gospodarki Narodowej, Ekonomika przemysłu - magister (1974)Polska Akademia Nauk w Warszawie, Europejskie prawo bankowe (2000) - studia podyplomoweAkademia Ekonomiczna we Wrocławiu, Wykorzystanie funduszy z UE (2005) - studia podyplomowe",parlamentarzystka,,,13-10-2019,,
Anita Czerwińska,Anita.Czerwinska@sejm.pl,,Prawo i Sprawiedliwość,20  Warszawa,22911,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"13-01-1970, Warszawa",wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (1999)",prawnik,członek prezydium,,13-10-2019,,
Katarzyna Czochara,Katarzyna.Czochara@sejm.pl,,Prawo i Sprawiedliwość,21  Opole,23120,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"03-11-1969, Biała",wyższe,"Uniwersytet Wrocławski, Filologia Germańska - magister (2008)",filolog germański,,,13-10-2019,,
Eugeniusz Czykwin,Eugeniusz.Czykwin@sejm.pl,13-10-2019,Koalicja Obywatelska,24  Białystok,14083,12-11-2019,"poseł IX kadencji, poseł X kadencji, poseł I kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","12-09-1949, Orla",wyższe,"Politechnika Warszawska, Wydział Transportu, transport kolejowy - magister inżynier (1973)",dziennikarz,,,,,
Władysław Dajczak,,13-10-2019,Prawo i Sprawiedliwość,8  Zielona Góra,27393,12-11-2019,senator VII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"10-07-1959, Międzyrzec",wyższe,"Wyższa Szkoła Inżynierska w Zielonej Górze, Instytut Budowy Maszyn, Mechanika-maszyny i urządzenia przemysłu spożywczego - magister inżynier (1983)Uniwersytet Wrocławski, Pawo i administracja (1997) - studia podyplomowe",wyższy urzędnik państwowy,,,,,15-01-2020
Anna Dąbrowska-Banaszek,Anna.Dabrowska-Banaszek@sejm.pl,,Prawo i Sprawiedliwość,7  Chełm,13787,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"14-04-1961, Chełm",wyższe,"Akademia Medyczna w Lublinie, Wydział Lekarski, Lekarz medycyny - lekarz (1986)Wyższa Szkoła Zawodowa Kosmetyki i Pielęgnacji Zdrowia w Warszawie, Kosmetologia w medycynie (2010) - studia podyplomowe",lekarz medycyny,,,13-10-2019,,
Leszek Dobrzyński,Leszek.Dobrzynski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,41  Szczecin,14105,12-11-2019,"poseł V kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"05-06-1967, Szczecin",wyższe,"Uniwersytet Szczeciński, Wydział Humanistyczny, Politologia-integracja europejska - magister (2006)",parlamentarzysta,,,,,
Zbigniew Dolata,Zbigniew.Dolata@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,37  Konin,23116,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"01-12-1965, Koźmin",wyższe,"Wyższa Szkoła Pedagogiczna w Opolu, Wydział Filologiczno-Historyczny, Historia - magister (1989)Uniwersytet im. Adama Mickiewicza w Poznaniu, Politologia (2000) - studia podyplomowe",nauczyciel historii,,,,,
Barbara Dolniak,Barbara.Dolniak@sejm.pl,,Koalicja Obywatelska,32  Katowice,39656,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","12-09-1960, Bytom",wyższe,"Uniwersytet Śląski, Wydział Prawa i Administracji, Prawo - magister (1983)Sąd Wojewódzki w Katowicach, Aplikacja sądowa (1987)Uniwersytet Śląski, Prawo Unii Europejskiej (2007) - studia podyplomoweOlsztyńska Wyższa Szkoła Informatyki i Zarządzania im. Prof. Kotarbińskiego w Olsztynie, Public Relations (2011) - studia podyplomoweKrajowa Szkoła Sądownictwa i Prokuratury we współpracy z Instytutem Polskiej Akademii Nauk, Prawo cywilne (2013) - studia podyplomowe",prawnik,,,13-10-2019,,
Bartłomiej Dorywalski,Bartlomiej.Dorywalski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,33  Kielce,7386,12-11-2019,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"16-08-1979, Włoszczowa",wyższe,"Katolicki Uniwersytet Lubelski, Wydział Prawa, Prawa Kanonicznego i Administracji, Prawo - magister (2003)Katolicki Uniwersytet Lubelski Jana Pawła II, Nauki prawne - doktor (2015)",wyższy urzędnik państwowy,, doktor,,,
Przemysław Drabek,Przemyslaw.Drabek@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,27  Bielsko-Biała,19770,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"02-10-1979, Bielsko-Biała",wyższe,"Wyższa Szkoła Ekonomiczno Humanistyczna, Zarządzanie i Marketing - licencjat (2002)",menadżer,,,,,
Elżbieta Duda,Elzbieta.Duda@sejm.pl,,Prawo i Sprawiedliwość,13  Kraków,8298,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"20-11-1962, Skała",średnie policealne/pomaturalne,"Państwowe Studium Sztuk Plastycznych, Konserwacja rzeźby, Konserwacja rzeźby architektonicznej - technik (1983)",parlamentarzysta,,,13-10-2019,,
Jan Duda,Jan.Duda@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,14  Nowy Sącz,11579,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"17-05-1960, Nowy Sącz",średnie zawodowe,"Pomaturalne Studium Samochodowe, Budowa pojazdów samochodowych - technik (1981)",parlamentarzysta,,,,,
Marcin Duszek,Marcin.Duszek@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,7  Chełm,16017,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"10-02-1982, Łosice",wyższe,"Uniwersytet Warszawski, Neofilologia, Instytut Germanistyki, Germanistyka - magister (2009)Szkoła Główna Handlowa w Warszawie, Samorząd terytorialny (2010) - studia podyplomoweSzkoła Główna Handlowa, nauki o zarządaniu-ekonomia (2015) - studia doktoranckie",parlamentarzysta,,,,,
Michał Dworczyk,Michal.Dworczyk@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,2  Wałbrzych,58426,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"22-07-1975, Warszawa",wyższe,"Uniwersytet Warszawski, Wydział Historii, Historia - magister (2001)",historyk,,,,,
Marek Dyduch,Marek.Dyduch@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,2  Wałbrzych,14451,12-11-2019,"poseł II kadencji, poseł III kadencji, poseł IV kadencji","Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","27-08-1957, Świdnica",wyższe,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Magister Prawa - magister (1991)Wyższa Wałbrzyska Szkoła Zawodowa Wałbrzych, Zarządzanie i Marketing (1997) - studia podyplomoweUniwersytet Przyrodniczy we Wrocławiu, Wycena Nieruchomości (2007) - studia podyplomowe",przedsiębiorca,,,,,
Artur Dziambor,Artur.Dziambor@sejm.pl,13-10-2019,Konfederacja Wolność i Niepodległość,26  Słupsk,19334,12-11-2019,brak,Koło Poselskie Konfederacja,"27-01-1982, Gdynia",wyższe,"Wyższa Szkoła Administracji i Biznesu w Gdyni, Zarządzanie i Marketing, Zarządzanie i Marketing - magister (2007)Pomorska Wyższa Szkoła Humanistyczna w Gdyni, Wydział Filologiczny, Filologia Angielska - licencjat (2014)",nauczyciel,,,,,
Jan Dziedziczak,Jan.Dziedziczak@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,36  Kalisz,60599,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"03-08-1981, Warszawa",wyższe,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Politologia - magister (2007)",politolog,członek prezydium,,,,
Agnieszka Dziemianowicz-Bąk,Agnieszka.Dziemianowicz-Bak@sejm.pl,,Sojusz Lewicy Demokratycznej,3  Wrocław,14257,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","20-01-1984, Wrocław",wyższe,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Filozofia - magister (2008)Uniwersytet Wrocławski, Wydział Nauk Historycznych i Pedagogicznych, pedagogika - magister (2008)Uniwersytet Wrocławski, Filozofia (2015) - studia doktoranckieUniwersytet Wrocławski, doktor nauk humanistycznych w zakresie filozofii - doktor (2018)",pedagog,, doktor,13-10-2019,,
Waldy Dzikowski,Waldy.Dzikowski@sejm.pl,13-10-2019,Koalicja Obywatelska,39  Poznań,19704,12-11-2019,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","23-07-1959, Wschowa",wyższe,"Politechnika Poznańska, Chemia i Technologia Organiczna - magister inżynier (1983)",chemik,wiceprzewodniczący,,,,
Barbara Dziuk,Barbara.Dziuk@sejm.pl,,Prawo i Sprawiedliwość,29  Katowice,11399,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"02-12-1968, Tarnowskie Góry",wyższe,"Wyższa Szkoła Zarządzania i Administracji, Marketing i Zarządzanie, Marketing i zarządznie - magister (2007)",ekonomista,,,13-10-2019,,
Jadwiga Emilewicz,Jadwiga.Emilewicz@sejm.pl,,Prawo i Sprawiedliwość,39  Poznań,43958,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"27-08-1974, Kraków",wyższe,"Uniwersytet Jagielloński, Instytut Nauk Politycznych, Politolog/dziennikarz - magister (1998)Wadham College Oxford University (2002) - studia podyplomowe",politolog,,,13-10-2019,,
Joanna Fabisiak,Joanna.Fabisiak@sejm.pl,,Koalicja Obywatelska,19  Warszawa,5347,12-11-2019,"poseł III kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","07-07-1950, Warszawa",wyższe,"Uniwersytet Warszawski, Wydział Polonistyki, Polonistyka - magister (1976)Uniwersytet Warszawski, Instytut Polonicum, Język  i kultura polska dla cudzoziemców (1986) - studia podyplomoweUniwersytet Warszawski, Centrum Studiów Samorządu Terytorialnego i Rozwoju Regionalnego, Samorząd terytorialny i rozwój lokalny (1986) - studia podyplomowe",nauczyciel akademicki,,,13-10-2019,,
Monika Falej,Monika.Falej@sejm.pl,,Sojusz Lewicy Demokratycznej,34  Elbląg,11093,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","08-02-1972, Mrągowo",wyższe,"Uniwersytet Warmińsko-Mazurski, Wydział Prawa i Administracji, Prawo - magister (2011)Wyższa Szkoła Bankowa, Metodologia Nauk Prawnych i Metod Prawniczych (2014) - studia podyplomoweWyższa Szkoła Bankowa, Prawo (2014) - studia doktoranckie",prawniczka,,,13-10-2019,,
Jolanta Fedak,,,Polskie Stronnictwo Ludowe,8  Zielona Góra,13792,12-11-2019,brak,"Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści","21-09-1960, Żary",wyższe,"Uniwersytet Wrocławski, Intytut Nauk Politycznych, Nauczycielska - magister (1984)Uniwersytet im. A.Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Administracja (1999) - studia podyplomoweUniwersytet Szczeciński, Wydział Humanistyczny, Zarządzanie oświatą (2003) - studia podyplomowe",politolog,,,13-10-2019,,31-12-2020
Magdalena Filiks,Magdalena.Filiks@sejm.pl,,Koalicja Obywatelska,41  Szczecin,14224,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","08-12-1978, Barlinek",wyższe,"Uniwersytet Szczeciński, Wydział Nauk Ekonomicznych i Zarządzania, Zarządzanie i Marketing - licencjat (2001)Uniwersytet Szczeciński, Wydział Nauk Ekonomicznych i Zarządzania, Zarządzanie i Marketing - magister (2003)",ekonomista,,,13-10-2019,,
Ewa Filipiak,Ewa.Filipiak@sejm.pl,,Prawo i Sprawiedliwość,12  Kraków,14010,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"29-03-1957, Kraków",wyższe,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie, Wydział Elektrotechniki, Elektroniki i Automatyki, Fizyka jądrowa - magister inżynier (1982)Wyższa Szkola Stosunków Międzynarodowych w Łodzi, Studium prawa europejskiego - administracja publiczna (2005) - studia podyplomowe",parlamentarzysta,,,13-10-2019,,
Radosław Fogiel,Radoslaw.Fogiel@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,17  Radom,26707,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"16-02-1982, Radom",średnie ogólne,Katolickie Liceum Ogólnokształcące im. Filipa Neri (2001),przedstawiciel władzy samorządowej,,,,,
Joanna Frydrych,Joanna.Frydrych@sejm.pl,,Koalicja Obywatelska,22  Krosno,18623,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","13-01-1978, Krosno",wyższe,"Wyższa Szkoła Informatyki i Zarządzania, Wydział Ekonomiczny, Ekonomia w zakresie finansów, ubezpieczeń i bankowości - magister (2003)Uniwersytet Rzeszowski, Europeistyka o specjalności administracja publiczna i samorządowa (2004) - studia podyplomoweWyższa Szkoła Menedżerska w Warszawie, Executive Master of Business Administration (2018) - studia podyplomowe",ekonomista,,,13-10-2019,,
Konrad Frysztak,Konrad.Frysztak@sejm.pl,13-10-2019,Koalicja Obywatelska,17  Radom,11996,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","15-02-1986, Radom",wyższe,"Wyższa Szkoła Handlowa, Wydział Nauk Humanistycznych, Dziennikarstwo - licencjat (2012)Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Politologii, Dziennikarstwo - magister (2020)",dziennikarz,,,,,
Krzysztof Gadowski,Krzysztof.Gadowski@sejm.pl,13-10-2019,Koalicja Obywatelska,30  Bielsko-Biała,18799,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","14-08-1962, Bochnia",wyższe,"Politechnika Śląska, Wydział Transportu, Eksploatacja i utrzymanie pojazdów - magister inżynier (1986)Politechnika Śląska, Zarządzanie przedsiębiorstwem (1996) - studia podyplomoweUniwersytet Śląski, Samorząd terytorialny (1996) - studia podyplomowe",mgr inż. transportu,skarbnik,,,,
Aleksandra Gajewska,Aleksandra.Gajewska@sejm.pl,,Koalicja Obywatelska,19  Warszawa,10228,13-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","22-08-1989, Warszawa",wyższe,"Collegium Civitas (Warszawa), Stosunki Międzynarodowe - magister (2013)",przedsiębiorca,,,13-10-2019,,
Kinga Gajewska,kontakt@kingagajewska.pl,,Koalicja Obywatelska,20  Warszawa,35912,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","22-07-1990, Warszawa",wyższe,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Nauki polityczne - magister (2014)Uniwersytet Warszawski, Wydział Nauk Politycznych i Stosunków Międzynarodowych, Nauki polityczne (2017) - studia doktoranckieUniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2018)",poseł na Sejm RP,,,13-10-2019,,
Leszek Galemba,Leszek.Galemba@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,37  Konin,16521,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"07-03-1966, Koło",średnie zawodowe,"Zespół Szkół Zawodowych, Mechanika Maszyn (1984)",parlamentarzysta,,,,,
Ryszard Galla,Ryszard.Galla@sejm.pl,13-10-2019,Mniejszość Niemiecka,21  Opole,13957,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Poseł niezrzeszony,"22-07-1956, Wrocław",wyższe,"Politechnika Opolska, Wydział Mechaniczny, Technologia maszyn - inżynier (1996)Akademia Ekonomiczna we Wrocławiu, Zarządzanie opieką zdrowotną (2002) - studia podyplomowe",inżynier mechanik,,,,,
Elżbieta Gapińska,Elzbieta.Gapinska@sejm.pl,,Koalicja Obywatelska,16  Płock,10905,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","03-10-1960, Płock",wyższe,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej, Pedagogika specjalna - resocjalizacja - magister (1985)",pedagog,,,13-10-2019,,
Kamila Gasiuk-Pihowicz,Kamila.Gasiuk-Pihowicz@sejm.pl,,Koalicja Obywatelska,18  Siedlce,34793,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","08-05-1983, Warszawa",wyższe,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie, Wydział Prawa i Administracji, Prawo - magister (2007)Szkoła Główna Handlowa w Warszawie, Wydział Ekonomii, Finanse i bankowość - licencjat (2007)",adwokat,,,13-10-2019,,
Adam Gawęda,Adam.Gaweda@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,30  Bielsko-Biała,26291,12-11-2019,"poseł VI kadencji, senator IX kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"03-11-1967, Rydułtowy",wyższe,"Politechnika Sląska w Gliwicach, Górnictwo i Geologia, techniczna eksploatacja złóż - magister inżynier (1993)",parlamentarzysta,,,,,
Krzysztof Gawkowski,Krzysztof.Gawkowski@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,4  Bydgoszcz,30859,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","11-04-1980, Warszawa",wyższe,"Wyższa Szkoła Komunikowania i Mediów Społecznych (Warszawa), Wydział Nauk Politycznych, politologia - magister (2006)Akademia Humanistyczna im. Aleksandra Gieysztora, Nauki Humanistyczne, nauki humanistyczne - doktor (2011)Akademia Humanistyczna im. Aleksandra Gieysztora, Wydział Nauk o Polityce, politologia (2011) - studia doktoranckie",nauczyciel akademicki - nauki humanistyczne,przewodniczący, doktor,,,
Andrzej Gawron,Andrzej.Gawron@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,28  Częstochowa,13888,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"06-01-1965, Kochcice",wyższe,"Uniwersytet Humanistyczno-Przyrodniczy w Częstochowie, Wydział Prawa i Ekonomii, Administracja - licencjat (2020)",przedsiębiorca,,,,,
Grzegorz Gaża,Grzegorz.Gaza@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,27  Bielsko-Biała,11526,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"23-03-1972, Pszczyna",średnie policealne/pomaturalne,"Zespół Szkół Budowlano-Mechanicznych, mechaniczny, obróbka skrawaniem - technik (1992)Zespół Szkół Ponadgimnazjalnych, eletryczny, elektroenergetyka - technik (1994)",przedsiębiorca,,,,,
Maciej Gdula,Maciej.Gdula@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,13  Kraków,35279,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","20-05-1977, Żywiec",wyższe,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii, Socjologia - magister (2001)Uniwersytet Warszawski, Wydział Filozofii i Socjologii, Socjologia - doktor (2006)Uniwersytet Warszawski, Wydział Filozofii i Socjologii, nauki społeczne, socjologia - doktor habilitowany (2016)",socjolog,, doktor habilitowany,,,
Elżbieta Gelert,Elzbieta.Gelert@sejm.pl,,Koalicja Obywatelska,34  Elbląg,11590,12-11-2019,"senator VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","22-04-1955, Gdańsk",wyższe,"Akademia Medyczna w Poznaniu, Pielęgniarstwo, Pielęgniarstwo - magister (1984)Uniwersytet Jagielloński w Krakowie - Szkoła Zdrowia Publicznego, Zarządzania szpitalami (1996) - studia podyplomowe",menadżer ochrony zdrowia,,,13-10-2019,,
Anna Gembicka,Anna.Gembicka@sejm.pl,,Prawo i Sprawiedliwość,5  Toruń,15305,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"07-11-1991, Włocławek",wyższe,"Uniwersytet Warszawski, wydział prawa i administracji, prawo - magister (2019)",pracownik administracji publicznej,,,13-10-2019,,
